,Date,Title,score1
2523,"May 02, 2013, Thursday","SEBI and RBI toughen stand on NBFCs in Bihar.Growth recovery contingent on improved governance: RBI.IOB to focus on increasing CASA, bad asset recovery in FY14.Farm credit exceeds Rs 6 lakh cr in FY'13.Indian Bank revises FCNR(B) deposit interest rates.ChrysCap close to buying 10% stake in CavinKare for Rs 350 cr.PE directors wary of Companies Bill.Venue for ADB board meet: Greater Noida scores over Delhi.Saradha due to formal financial system's failure: RBI",neutral
2524,"May 01, 2013, Wednesday","Deepak Parekh steps down as IDFC chief, to chair advisory council.In-house TPA to be operational from Jan 2014.Sebi finding ways to tackle 'regulatory arbitrage'.Indian Overseas Bank to raise $2 bn through MTN.Bank retail credit up 14.5% in March.Margins drive private banks' profitability.Life insurers' premium growth to face challenge in FY14",negative
2525,"April 30, 2013, Tuesday","Bank retail credit grows 14.5%.Indian firms in doublespeak on insurance FDI: WikiLeaks.Interest in inflation-indexed bonds, but clarity needed on structure.4 general insurers and a reinsurer plan to launch TPA in September.Life insurers' new premiums fall 6.3% in FY13.JPMorgan banker pay beats Goldman as Europeans trail.StanChart IDR holding conversion into shares",neutral
2526,"April 29, 2013, Monday",Govt mulls relaxing ECB norms for low-cost housing.CII hopes for 50 bps cut in interest rates.Only liquidity infusion will ensure monetary transmission.Jefferies raises ICICI Bank target price,positive
2527,"April 28, 2013, Sunday","Bajaj Fin plans to double loans against securities portfolio.Stree Nidhi to lend Rs 1,694 cr this year.With MFIs out, SHG-bank bond grows stronger in AP.Adopt strategic optimism: Vellayan.Former Japanese Dy minister is new ADB President.Govt red-flags over 250 dubious financial transactions.Federal Bank aims 18% growth in gold loans in FY14",positive
2528,"April 27, 2013, Saturday","As bond yields soften, banks see arbitrage opportunity.Banks to continue focusing on retail credit in FY14.No evidence of money laundering, says Kochhar.ICICI Bank's Q4 net rises 21% on interest income.LIC Housing Finance net up 25% to Rs 316 cr.Vijaya Bank posts Rs 224-cr profit.Cholamandalam Investment Q4 net profit zooms 44%.State Bank of Travancore reports 8.5% rise in net",positive
2529,"April 26, 2013, Friday","Vijaya Bank targets 25.3% business growth in FY14.Ficci pitches for 1% cut in rates by RBI to boost growth.Gold imports down 12% in Apr-Feb 2012-13.CII pitches for 0.50% cut in lending rates.Maharashtra sees highest number Of card, internet banking frauds.Getting deposits at right price will be key for banking: L&T Finance.Banks mull CD curve for term money market.IDBI Bank Q4 net dips 28% to Rs 554 cr.Pension products not on a par with NPS, say insurers.Irda chairman to meet life insurers on May 2.Microfinance industry denies links with chit fund firms",neutral
2530,"April 25, 2013, Thursday","United Bank to apply for overseas licences to RBI.Banks plan to introduce certificate of deposit curve.How a receptionist became director?.Axis Bank Q4 net profit rises 22% to Rs 1,555 cr.Hunt for LIC chief on.Peepul Capital eyeing exit from Medall Healthcare.New Silk Route eyes stake in Punjabi By Nature",positive
2531,"April 24, 2013, Wednesday","With MFIs out, SHG-bank bond grows stronger in AP.Dena Bank launches health insurance scheme for farmers.FM wants greater penetration in the non-life insurance sector.RBI to tweak KYC norms to tighten banking system: Chakrabarty.'Unlike in 1993, new banks will find it tougher now'.SBI launches prepaid card for blue-collar workers.HDFC Bank Q4 net profit increases 30.1% to Rs 1,889.8 cr.Two MFIs to get $10 mn each from IFC.Money laundering: HDFC Bank says probe into Cobrapost expose yet to find irregularities.NHB's mortgage guarantee firm gets registered",positive
2532,"April 23, 2013, Tuesday","Bengal govt ignored RBI alert in Dec.Assocham for quick action against rogue finance firms.Par panel objects to CMPFO not parking Rs 45K cr in PSU banks.No application yet to RBI for setting up new pvt banks: Govt.Union Bank raises $350 mn from bond sale in Hong Kong.No evidence of money laundering in Cobrapost expose: RBI.RBI may allow 7-8 new banks.Too early for optimism on trade balance.Indian companies step up foreign bond issuances.Co-op banks can't use Sarfaesi for debt recovery: Gujarat HC.Revival some time away for life insurers.Gold loan body asks members to reduce lending rates.BSE Brokers' Forum, Bajaj Allianz Life sign agreement",neutral
2533,"April 22, 2013, Monday","Par Panel for opening branches in unbanked areas.Canara, OBC to oppose HSBC's plan to sell stake in insurance JV",neutral
2534,"April 21, 2013, Sunday",FinMin asks banks to get ready for 2nd phase of DBT scheme.RBI may issue clarification on bank licences by early May.Panel rejects RBI proposal to limit FII investment in secondary mkt,neutral
2535,"April 20, 2013, Saturday",'Size of insurance firm vital to fix exposure cap'.Asian currencies have best week in 7 months on fund inflows.Banks will now be fined Rs 1 cr for violating every single norm.Insurance firms get serious on fake agents.Forex reserves up $1.4 billion.IOB issues notice to Deccan Chronicle,neutral
2536,"April 19, 2013, Friday",PFRDA tightens investment norms for private pension fund managers.Cobrapost fallout: RBI extends investigation to 34 banks.Action will be taken against the three private banks: FinMin.RBI views forex market intervention as real danger.IMF reforms get approval from most member-countries.Gold loan firms swing into action as falling prices spell trouble.HSBC looking at commercial banking biz beyond metros.Fading glitter: Icra downgrades outlook on Muthoot & Manappuram to negative.'Banking connectivity surges with BC mode'.Government bond yields hit lowest level since July 2010.ECBs to pick up on the back of economic growth,negative
2537,"April 18, 2013, Thursday","Banks may be hit by gold crash, says India Ratings.RBI audit report finds aberrations in ICICI, HDFC, Axis: Takru.Indian banks' overseas workforce expands.FinMin panel to free investment norms for insurance and pension funds.'Falling gold, oil prices to help RBI cut rates aggressively'.Federal Bank launches Rupay brand debit card.'Quantitative capital controls more effective in short term'.Banks may raise margin requirement for gold loans.RBI: Corp sales growth at lowest level post crisis.Banking Secy to meet RBI Dy Governor today.ICICI Bank plans unsecured loan growth in a measured way.Subbarao on IMF tailoring advice.Optimism on fall in crude, gold prices.Banks see year-end surge in credit, deposit.YES Bank Q4 net up 33%.Swap rate at 27-month low as crude oil eases.Central bank stimulus under the spotlight at IMF, G20",positive
2538,"April 17, 2013, Wednesday","Govt banks may switch from gross salary to CTC for pay hike.IDFs can extend schemes' tenure by up to 2-yr: Sebi.Healthy recovery to better Q4 asset quality: SBI.Revision in wholesale inflation may worry Reserve Bank.State Bank to cut loan-to-value gold loan ratio.Caspian Advisors to set up $40-mn debt fund in India.Gold price fall to hit banks, NBFCs: India Ratings",positive
2539,"April 16, 2013, Tuesday","Will go full throttle to recover dues from KFA: SBI Chief.SBI mulls merging one of its associate banks this year.SBI sees no stress in gold loan portfolio.Falling gold prices not a cause of worry: Federal Bank.Yash Birla firm faces Rs 1,000-cr loan recall",negative
2540,"April 15, 2013, Monday","Despite sharp fall in stock prices, gold loan firms put up a brave face.Banks put properties worth over Rs 20k cr on the block to recover dues.Premiums in marine hull segment to see slow growth.Lehman International creditors might be repaid in full, says PwC.Regulators gaining against too-big-to-fail bailouts.Post Pandit exit & some pink slips, Citigroup profit rises 30%.New law restricts securitisation in MFI.Co-operative bank sees over two-fold increase in new deposits.Assocham favours 10 new banks initially.Irda asks insurers to review health insurances with TPAs.Union Bank hits global debt market with $500 mn bond issue.General insurers' premium up by 19.3% in April-Feb period.Over 1 lakh e-auctions for NPA properties expected in 2013-14: NPAsource.com.G7 central banks shown yellow card.Bankers count on watered down EU trading tax.Private banks eye a bigger share of agricultural loan business",positive
2541,"April 14, 2013, Sunday","Dena Bank expects Rs 1,260 cr capital infusion.MFs witness record Rs 1.85 tn net inflow in 11 months of FY13.Pvt banks eye a bigger pie in crop loans",positive
2542,"April 13, 2013, Saturday",American dream eludes with student debt burden.Rise in deposits beats credit growth in FY13.RBI slaps Rs 5-lakh penalty on JPMorgan for FY12 breaches.Axis Bank revises deposit rates.SBI's $1-bn bond issue subscribed 4.3 times.Heliconia to acquire 2.6% in Kotak Mahindra.DCB Bank Q4 net profit doubles to Rs 34 cr,positive
2543,"April 12, 2013, Friday","Union Bank opens regional office at Sambalpur.Heliconia to acquire 2.6% in Kotak Bank for Rs 1,296 crore.Banks that are 'too big to fail' may be 'too big to succeed': Gartner.SBI raises $1 billion via bond sale.In FY13, firms borrow more from non-banking sources.Mobile banking transactions double, payments rise threefold.Asset-financing NBFCs could be hit by slow car sales.Low returns might  keep insurers away.Cobrapost expose: RBI initiating action on banks.Bank finance for infra to remain tepid due to Basel-III: Icra.Union Bank of India to raise $500 mn via MTN.SBI hits international bond market to raise $1 bn.Inflation indexed bonds may be issued in a month: RBI.Regulators lack teeth to bite errant banks: FSB.IMF says 'so far, so good' on easing by global central banks.Wall Street shadow: Seeking relief, banks shift risk to murkier corners.BofA spinoff raises $735 mn PE fund",neutral
2544,"April 11, 2013, Thursday","KFA lenders to initiate process to liquidate Mallya's assets next week.Shorter tenure bonds see higher trader interest.Manulife, HDFC Life in the fray for HSBC India insurance arm.FM to sell India as an investment destination.South & west race ahead in bagging real estate PE deals.Gaurav Mathur launches InVent Capital.Ratnakar Bank raises Rs 324 cr equity capital.End DBT infrastructure in 78 more districts by May 31: Govt to banks.Firms invest $1.88 bn abroad in March",neutral
2545,"April 10, 2013, Wednesday","Ratnakar Bank raises Rs 324 crore equity capital.FSDC sub-committee to discuss inflation-linked bonds tomorrow.Promoters cut their holding in HDFC Bank.RBI to clear the air on who controls an Indian entity.Bank FD investors may exit on falling rates.NBFCs expect 25-bp cash reserve ratio cut by RBI.Banks' fee income growth may be muted in Q4: Analysts.Online sale of products is the way to go, say insurers.Banks invoke 3.13 mn pledged shares in Kingfisher Airlines.RBI Governor briefs MPs on new bank licences.Irda warns public against fake insurance entities.Fed to press banks to curb liquidity risk: Bernanke.Supervisory shake-up bumps up costs for banks.Money laundering case: RBI assures House panel of action",neutral
2546,"April 09, 2013, Tuesday","FIIs nibble at PSU banks as locals sell.V S Krishnakumar appointed as third ED at Canara Bank.IDBI Bank collects Rs 1.6 lakh cr via tax receipts in FY13.Retired bankers in demand as India Inc looks for licence.Lack of govt spending to hit recoveries.Ex-bankers get million-dollar offers.IndiaFirst Life to break even in FY16, says CEO.RBI 'uneasy' at sovereign bond offer to foreign investors.Banks may need more time to replace debit, credit cards.Delinquency rate in commercial vehicle loans rising: CRISIL.Economists for bank rate cut but agree CAD a larger problem.India Inc's March overseas investment at $1.88 bn",neutral
2547,"April 08, 2013, Monday","AEGAON Religare launches money back plan.Vizag co-op bank ties up with Mumbai firm.Nabard lends Rs 8,000 cr to Punjab in 2012-13.Repayment records in commercial vehicle loans hit 3year low: Crisil.Cyprus debt funds halt remittances from India",neutral
2548,"April 07, 2013, Sunday","SBI to open 100 branches in Andhra.NHB to raise Rs 14k cr in 2013-14.Axis Bank aims Rs 50,000 cr home loan portfolio by FY15 end.SBI to discontinue free accident cover for loan customers",neutral
2549,"April 06, 2013, Saturday","Micro-insurance sees 35% fall in costs.SBI to raise up to $1 bn via 5-yr bond.Smooth sailing for FY14's first govt bond auction.How banks and funds are gaming money markets in India.Direct plans take 15% of MF AUM.BoJ joins Fed, ECB in record stimulus",neutral
2550,"April 05, 2013, Friday","Nabard to transform 700 primary co-op  societies into multiservice centres.Ernakulam district credit plan pegged at Rs 12,995 cr for fiscal 2013-14.UIDAI 'Registrar' insurers to disclose details in P&L account: Irda.BoB revises fixed deposits rates by up to 0.25%.Insurers use cost-effective ways to boost renewal premiums.Bank of Baroda cuts deposit rate by 25 bps.SBI wins National Award for implementation of PMEGP.Banks move cautiously on financing diamond firms.Axis Bank raises select deposit rates by 30 bps.Bankers press for 50-bp CRR cut in May 3 policy review.Price stability necessary for long-term growth: Subbarao.Bank credit to industry up 14.7% in Feb.Sahara assets: RBI asks banks to comply with Sebi order.Most Basel members miss deadline for new rules to make banks safer.Insurance fund for Iranian crude oil refiners.AIG, 3 others fined in bank kickback probe",neutral
2551,"April 04, 2013, Thursday","10 life insurance funds beat Nifty with higher returns.Tata AIG General Insurance offers customised services to HNIs, SMEs.Irda yearly cap on new products to five restrictive: Life insurers.Insurers' exposure cap for reverse repo deals removed.Irda clarifies on role of micro-insurance agents.Short-term rates ease as liquidity stays tight.Put Thorat panel norms on hold: NBFCs to tell RBI.Year-end rush helps deposit growth pick up.Kingfisher lenders to keep selling USL shares.HDFC expects 50-bp rate cut in 2013.For Helion, e-commerce party has just begun.Indiareit to raise Rs 200 cr for fifth domestic realty fund.Barclays told to rein in pay, tighten controls to repair reputation.Yen and euro hold steady before BoJ, ECB meetings",positive
2552,"April 03, 2013, Wednesday","Nabard aid to TN, Puducherry up 34%.Housing finance cos rule out reduction in lending rates.Nabard extends nearly Rs 13,000 cr to AP.Nabard assistance to K'taka up 40% in FY13.Rajiv Anand likely to head Axis Bank's retail liabilities business.Reliance Life Insurance launches fixed benefit healthcare plan.Rating agencies differ on credit quality outlook for 2013-14.India Inc explores new currencies for overseas bonds.REC to raise up to Rs 37,000 cr in FY14",neutral
2553,"April 02, 2013, Tuesday",NABARD support soars 256% in Chhattisgarh.Axis Bank launches 'empower home loans' for self employed.Deposit rates start falling; lending rates to follow suit.'ECB norms for HFCs likely to be reviewed'.Non-life insurers look at more premium increase.Liquidity deficit expected to ease.RBI to meet bankers on Thursday for pre-policy discussions.Wait for new 10-yr benchmark govt bond gets longer.RBI redefines core investment firms' rules on entry into insurance.RBI eases interest rate norm for power debt restructuring.Cyprus President says nobody immune from bank collapse probe,positive
2554,"April 01, 2013, Monday","IndusInd Bank debuts on Nifty; shares soar 3%.PNB, OBC cut deposit rate; SBI still cautious.Karnataka Bank eyes 27% business growth.FM to meet select bankers in Mumbai next week.Nabard support in Haryana crosses Rs 6,000 cr in 2012-13.Lenders want higher provision on recast loan to be deferred.PNB cuts domestic term deposit rates by up to 200 bps.SKS Microfinance concludes two securitisation transactions.RBI against panel proposal to form super-regulator for financial firms",neutral
2555,"March 31, 2013, Sunday","Syndicate Bank to raise $500 mn through MTN bond issue.Margins remain under pressure, sats IDBI Bank.Banking aspirants line up with clarifications on licence norms.HDFC Bank to charge customers for InstaAlert SMSes.Limit loan write-offs, FinMin asks PSU banks",neutral
2556,"March 30, 2013, Saturday","UBI first bank to file winding-up petition against UB Holdings.In Cyprus, feeling the pain of a bailout.Film insurance is catching up with producers.PNB needs to overhaul branch banking model for rural scale-up",negative
2557,"March 29, 2013, Friday","CAD's impact on rupee to be short lived: Experts.ICICI Bank shuts door on ex-employees.Securing a loan is a right: Chidambaram.Subbarao to attend IMF conference.Following BRICS bank plan with interest: IMF.FM inaugurates 300 bank branches in UP.AIRREA stir put off.Banks draw govt's ire again for neglecting study loans.Chidambaram unveils 300 bank branches in UP.Banks make a killing in call money market.HDFC Bank cuts base rate by 10 bps to 9.6%.Life insurers eye expansion in health segment.Banks raise cautionary bar on gold loan firms, but see no liquidity risks.RBI defers Basel-III norms for forex derivatives.Rates will correct but liquidity issue remains.South Indian Bank's total business crosses Rs 75,000 cr.Ravi Pillai buys 4.49% share in Dhanlaxmi Bank.Exim Bank hits Australia debt market, sells A$200-mn bonds.DHFL Vysya cuts rate by up to 0.5%.Patient Cypriots queue as banks reopen.Euro zone depositors fastest to leave Cyprus in Feb",neutral
2558,"March 28, 2013, Thursday","KYC norms for SHGs eased, all members need not be verified.Call rate ends at 17% amid tight liquidity.Deadline for banks' FX forward settlement removed for now: sources.Banks stare at MTM losses as bond yields surge.FirstRand Bank eyes break-even by '14-end.Deutsche Bank declines after S&P says debt rating might be cut.EU govts approve banker pay curbs.Cyprus move may hit foreign transactions.UK banks have $38-bn capital shortfall, says BoE.Citi may cut cash holdings to boost earnings.JPMorgan faces full-court press of federal probes",neutral
2559,"March 27, 2013, Wednesday","redBus.in being valued at $110 mn.PE fundraising back on agenda.Banks in TN take total deposit of Rs 4.11 lakh cr till Dec 12.Future Generali to merge with L&T General Insurance.Hit by liquidity crunch, banks pay penal rate for RBI funds.Irda raises third-party motor cover premium.Diverse concerns over debt market.Basel proposes halving bank exposure limit",neutral
2560,"March 26, 2013, Tuesday","HSBC sees best inflow in a year extending on rules.Banks told to keep tax collecting branches open on Mar 29-31.Banks initiate crackdown on wilful defaulters.ICICI Bank and HSBC start expanding credit card base.Bajaj Finance plans to enter rural markets in second quarter of FY14.Limited premium plans gain market share.Moody's cuts standalone rating for IOB, OBC and Syndicate Bank.Bank borrowings touch Rs 1.5 lakh cr on Monday.Muthoot Fincorp launches new app to store jewellery virtually.Libor rate oversight to be handed to new UK regulator",neutral
2561,"March 25, 2013, Monday","Tight-rope walk.'Growth has fallen, but there has been a qualitative improvement'.Catastrophe pool: Far-fetched dream?.SKS Microfinance to turnaround in FY15.Deutsche Bank maintains 22,500 Sensex target for December",positive
2562,"March 24, 2013, Sunday","Govt bond yields seen rising; rupee may weaken.Bankers say lending rates to remain high in near term.SKS Microfinance may raise Rs 3,000 cr next fiscal",positive
2563,"March 23, 2013, Saturday",Govt wants PSBs to consider separate credit limit.Bengal govt to bring new legislation to curb chit funds.Super-regulator for financial sector mooted.Street expects new 10-year benchmark govt bond in April.Film producers get no 'Dutt' insurance.Notification on Basel-III norms soon: Subbarao,neutral
2564,"March 22, 2013, Friday","Bank loans to infra projects are secured lending: FinMin.UCO Bank begins internal probe, conducts snap audit across Kolkata branches.Srikrishna panel wants delineation of organised trading from sector regulators.SKS completes two securitisation transactions worth Rs 115 cr.Chakrabarty downplays Cobrapost expose.MFIN to move Supreme Court against Andhra Act.Short-term rates trading below 10% for the first time in two years.Bank-led insurers are better placed: Barclays.SKS: Will resume operations in AP.30 banks to switch to risk-based supervision",neutral
2565,"March 21, 2013, Thursday","Consider separate credit limits for renewable energy projects: Govt to PSBs.Srikrishna panel insists on single unified regulator in financial sector.No information dissemination before annual policy in May: Subbarao.Temasek, Carlyle in race for Lafarge India stake.PEs set sight on housing finance companies.Banks mop up deposits worth Rs 1 lakh cr.Insurers roll out schemes to check agent attrition.Reliance PE plans third fund, with target corpus of $300 mn.IOB board approves MTN programme worth $2 bn.Central Bank to cut lending to aviation sector.S Korean banks victim of biggest cyber attack.Freddie Mac sues BofA, UBS, JPMorgan",neutral
2566,"March 20, 2013, Wednesday","Reliance Life launches new health plan.EXIM Bank extends $41.60 mn LOC to Union of Comoros.SIDBI signs MoU with Egypt for their SME sector Development.IDBI sells $500 mn bonds in global mkts, to pay 3.75% coupon.Disasters caused Rs 1,000-cr loss to India in Jan: Report.IDBI Bank raises $500 mn through long-term bonds.Govt infuses Rs 3,004 cr into State Bank of India.LIC sees sharper growth decline in new business premium than industry.SKS Microfin expects to recover written-off loans in Andhra.General Insurers' premium up 19.3% in April to Jan period.Street hopes for one more rate cut in '13.Lending, deposit rate cuts unlikely.UBS to quit scandal-hit Euribor panel.Cyprus lawmakers reject bank tax; bailout in disarray",neutral
2567,"March 19, 2013, Tuesday",IDBI Bank raising over $500 million in overseas bond sale.Further rate cuts by RBI likely to be 'slow and halting': RBS.Banks could face hefty fines if found guilty of money laundering: experts.Bankers rule out cut in interest rates this month.Reserve Bank widens its money laundering probe.Street not upbeat about govt borrowing in H1 FY14.SC interim order provides relief to SKS Microfinance.RBI pushes for electronic payments.S&P: Capital raising woes may turn small banks into takeover targets.ICICI Bank appoints Deloitte for forensic inquiry,neutral
2568,"March 18, 2013, Monday","Private banks may lose premium edge.Avendus to invest $25 mn to beef up NBFC arm.FinMin, RBI looking into money laundering by banks.UCO Bank claims WBIDFC's FD receipts fictitious.UP to rescue 16 ailing cooperative banks.RBI to address liquidity concerns in the policy: FM.Govt, RBI looking at allegations against pvt banks: FM.UP to rescue 16 ailing district co-operative banks.Banks should recover loans from affluent promoters: Chidambaram.Asset quality pressures, strict regulatory norms set to hit banks' profitability: Survey",neutral
2569,"March 17, 2013, Sunday","HSBC says ready to follow RBI norms.Subsidiary route: HSBC says it's ready to follow RBI norms.Chidambaram to meet heads of PSU banks tomorrow.SBI to open 1,200 branches, 8 overseas offices next fiscal.RBI likely to cut key policy rates by 0.25% on Mar 19: experts",neutral
2570,"March 16, 2013, Saturday",China central bank head to spur reforms via tough waters.HDFC Bank appoints Deloitte for forensic probe into allegations.Pvt banks may be brought under financial inclusion.ICICI suspends 18; Axis removes tainted staff from key roles.Max Bupa goes the family way.Home loans see near-flat growth in April-January.Borrowings by banks under LAF to remain high.Financial sector players exploiting customers: Parekh,positive
2571,"March 15, 2013, Friday","Black money expos̩ hits private bank stocks.Black money: pvt banks warn staff of zero tolerance.Banks advised to issue debit, credit cards with photo.SBI sponsored rural bank opens 135 ultra small branches on a single day.Bank borrowing zooms to Rs 1,35,000 cr.Govt probing money laundering accusations.Top banks come under black money cloud.Insurers raise exposure to gilts on rate cut hopes.AC cabs, foreign trip offer....Bank of India's foreign bond issue subscribed 5 times.National Insurance likely to be listed by March 2015.Govt clarifies provision for corporate investments in tax-free bonds.CRISIL expects RBI to cut repo rate by 25 basis points.Severe action will follow if there are violations: Takru.Private banks in fire-fighting mode after allegations of money laundering.FIU to probe private banks sting case",neutral
2572,"March 14, 2013, Thursday","Bearish positions reverse bank share slide.Union Bank expects open market operations to ease liquidity.IOB to open regional office at Sambalpur.Irda sets up committee to review insurance broking.Top banks probing money laundering accusations.Deutsche Bank sees 25 basis point rate cut next week.Spice Global plans to apply for banking licence.Finance ministry swings into action on money laundering issue.Inflation picks up in Feb but RBI seen cutting rates.Inflation must fall to 4-6%, Budget 2013 may help: RBI.Rabi crops, priority sector norms boost farm loans.GIC downplays deal scrutiny.WBIDFC claims Rs 120 cr missing from UCO Bank a/c.CARE says ratings business slowing, to diversify into financial consultation.Angel investing done differently.Budget firmly embraced fiscal responsibility: Subbarao.Gammon India to start talks for debt recast.Dimon's extra $1.4-mn payout hangs on Fed decision",neutral
2573,"March 13, 2013, Wednesday",Repco Home Finance to look at low-cost funding.Irda asks National Insurance to adhere to claims servicing rules.Allahabad Bank cuts home loan rates.Selling by bank aspirants gives midcaps shivers.7 new firms get access to EPFO money.Mandatory catastrophe cover still requires much work.Demand for agricultural credit remains high: RBI.Banks unlikely to reduce deposit rates this month.'GIC says no loss due to buying cover from Berkshire',positive
2574,"March 12, 2013, Tuesday","Nabard bets on mechanisation for farm credit growth.Banking supervisors may seek to simplify Basel III.Credit growth to industry slows to 15.2% in Jan.India is new focus for Societe Generale.Govt to launch 1 bn units of Rs 10 plastic notes in 5 cities.Kotak raises Rs 490 cr for its infra PE fund.Banks' borrowing crosses Rs 1-lakh-cr on tight liquidity.Distribution reforms the key, say insurance CEOs and regulator.Job applications flood State Bank.India Inc invests $1.65 bn in February in foreign countries.Customers in smaller cities to have better access to insurance, courtesy Budget proposals.Profitability of L&T Housing Finance may stay low: Icra.Dredging Corporation to raise Rs 500 cr through tax-free bonds.SREI looks to set up bank.BoJ nominee vows swift action as orders data disappoint",neutral
2575,"March 11, 2013, Monday",Brazil central bank seen raising rates to 8% this yr.'Low interest rate not benefitting the needy'.Corporation Bank expects gold loans to touch Rs 185 cr in Hyderabad zone.Banks to publish photos of loan defaulters in newspapers,neutral
2576,"March 10, 2013, Sunday","Andhra Bank, SBH to focus on SMEs.Chidambaram to meet PSU bank heads on March 18.HSBC's India headcount dips for 4th straight year in 2012.Chidambaram to meet heads of PSU banks on March 18",neutral
2577,"March 09, 2013, Saturday","Coffee Day Holdings gears up to expand financial services.Canara Bank announces award for  women entrepreneurs.CD issuances decline as banks reach 10% cap.Govt, RBI discuss long-term money for stunted venture fund.LIC emerges largest shareholder in Karnataka Bank.Pantaloon to sell 22.5% in Future Generali for Rs 300 cr.World Bank chief in India from Monday, to see PM & FM.Indiabulls Financial Services completes reverse merger.JNPT plans to raise Rs 2,000 cr via tax-free bonds.Banks pass Fed's tests; critics say it was easy.Citi seeks $1.2 bn of buybacks",neutral
2578,"March 08, 2013, Friday","Vijaya Bank to open 3 all women branches.RBI signs currency swap agreement with Bhutan's monetary authority.Bond markets shouldn't fear HTM cut: banks.Sanjiv Misra appointed non-executive Chairman of Axis Bank.Australian court refuses Perdaman's request to sue ICICI Bank.India Inc takes foreign route to raise funds by issuing bonds.'SBI asset quality may stabilise in FY14'.RBI to clarify doubts on new bank licences.Double whammy for high-end car users.Insurers, agents shift focus to renewal premiums.Repco Home Finance eyes Rs 270 cr via IPO.Moody's: US state housing fin agencies still face risks",negative
2579,"March 07, 2013, Thursday","Insurance Information Bureau to work with Korean counterpart.AP MFIs grow on back of eastern and northern markets.India Ratings affirms AAA ratings to SBI, PNB.StanChart, ADB to support microfinance in Asia.HDFC Bank sees 15-30% higher home loan offtake next year.Backed by PEs, Pandit may invest in a new Indian bank.RBI swings into action after CAG picks holes in farm debt relief scheme.Loan growth above RBI projection; deposits fall.Banks and finance companies bullish on demand for home loans.Non-linked variable products, Ulips to be treated on a par.No denial of new health insurance till 65 years.ICICI Bank to sell 25-kg pledged gold to recover loans.Health covers to exclude various consumable spends.Govt infuses Rs 1,248 cr in PNB, BoI gets Rs 809 cr.Pound weakens as BoE starts policy meeting.PE investors in a spot as founders quit.IndiaFirst Life launches personalised policy packs",positive
2580,"March 06, 2013, Wednesday","Nabard projects credit estimate at Rs 96,343 cr.General insurers can bring out an IPO, post 10 years of operation.UP agro credit for FY14 at Rs 1,01,000 cr.Companies facing probe allowed to tap ECBs via automatic route.Pension panel member rejects Rs 300 pension suggestion for the aged.ICICI Bank gets $100-mn capital repatriation from UK subsidiary.Finance ministry, RBI on different tracks.General insurers want further rise in third-party premium.StanChart posts 16% drop in India operating profit at $676 mn.Irda publishes five key reforms in gazette.India Ratings downgrades HEG to A+, outlook stable.S&P: Asset quality pressures to persist for Asia-Pacific in '13.Irda for changing 'Place of Business' regulation.New reinsurance rules for life insurers.CAD is biggest concern: Rajan.HSBC provides details of US-based clients with accounts in India to US IRS.Standard Chartered profits hit record $6.9 billion",negative
2581,"March 05, 2013, Tuesday",RBI restricts operations of Surat Nagrik Sahakari Bank.Asset quality pressure to persist for Indian banks in 2013: S&P.SBI buying property for housing staff in Singapore: report.Kotak Mahindra Bank to offer its Salary2Wealth account to Indian Navy.DCB Bank ties up with Credit Sudhaar to offer credit card.Moody's thumbs-up to Budget fiscal plan.LIC equity investment cap provision still not clear.Financial inclusion plan key for bank licences: D Subbarao.Urban housing fund expected to go live in a month.Aegon Religare Life Insurance launches guaranteed benefits plan.Credible fiscal consolidation plans required: RBI,neutral
2582,"March 04, 2013, Monday","Nabard estimates Rs 8,098 cr for critical infra in Karnataka.Deutsche Bank expects additional rate cut of 75 bps in 2013.Karnataka Bank to provide loans for Ashok Leyland trucks.State Bank of Mysore cuts Base Rate, BPLR.Market sees RBI cutting rates 50 bps by Sep.Chidambaram hopes Reserve Bank may ease policy rates",neutral
2583,"March 03, 2013, Sunday","Amend SCRR before allowing insurers as members: Irda.Haldia Petro gets Rs 116-cr lifeline from SBI, PNB.Manipal, Janalakshmi show interest in banking licences.Muthoot Finance may decide on seeking bank licence soon.Corporation Bank launches special car loan scheme",neutral
2584,"March 02, 2013, Saturday",UBS lays off 35 bankers in the Americas.Women-run PSU bank may face HR challenges.Videocon to throw its hat in banking licence ring.Dena Bank eyes healthcare business to boost retail book.Vijaya Bank opens 10th MSME Cell at Coimbatore.High dividend pressure on Reserve Bank of India.Govt banks raise retail term deposit rates,negative
2585,"March 01, 2013, Friday","New India keen to insure state against calamities.United Bank of India hikes domestic term deposit rates by 25 bps.Corporation Bank launches three new schemes for limited period.PNB raises fixed deposits rates by up to 1.25%.Impose limit on global transactions of cards, RBI tells banks.Karnataka Bank ups deposit rates by 25 basis points to 9.25%.Responsible and pragmatic: Amitabh Chaudhry.Banks get nod to act as insurance brokers.Rs 14,000-crore capital infusion for PSBs.She change: First women's bank to come up soon.FIIs in exchange-traded derivatives.Angels get passthrough.STT reduction is a welcome move: Keki Mistry.A balancing act: Shikha Sharma.Firmly growth-focussed: Y M Deosthalee.Investment rate to get a leg-up: SS Mundra.Comfort for RBI, rating agencies: Kaku Nakhate.Genuine step to widen insurance mkt: Sunil Godhwani",neutral
